utterance_id,speaker_id,speaker_role_raw,utterance,Comment,,Comments,session_id,annotation1,annotator_name1,annotation2,annotator_name2,Diff_annotations
5010,MOT,mother,tu les aimes ceux-là ?,,, ,Anae/2428.cha,1,clara,,,
5011,MOT,mother,c'est bon ?,,, ,Anae/2428.cha,1,clara,,,
5012,MOT,mother,après on va faire le jeu avec l'ordinateur (.) de maman ?,,, ,Anae/2428.cha,1,clara,,,
5013,MOT,mother,où il faut montrer les images .,,, ,Anae/2428.cha,1,clara,,,
5014,MOT,mother,tu te rappelles ?,,, ,Anae/2428.cha,1,clara,,,
5015,MOT,mother,hein Anaé ?,,, ,Anae/2428.cha,1,clara,,,
5016,CHI,target_child,xxx .,%act CHI mange son gâteau ,,%act CHI mange son gâteau  ,Anae/2428.cha,MOT,clara,,,
5017,MOT,mother,tu fais le petit lapin ?,,, ,Anae/2428.cha,1,clara,,,
5018,MOT,mother,le petit hamster !,,, ,Anae/2428.cha,1,clara,,,
5019,MOT,mother,il y a des lapins chez Véro ?,,, ,Anae/2428.cha,1,clara,,,
5020,CHI,target_child,non .,,, ,Anae/2428.cha,MOT,clara,,,
5021,MOT,mother,non il y en a plus des lapins ?,,, ,Anae/2428.cha,1,clara,,,
5022,MOT,mother,et il y a des cochonsd+inde ?,,, ,Anae/2428.cha,1,clara,,,
5023,CHI,target_child,non .,,, ,Anae/2428.cha,MOT,clara,,,
5024,MOT,mother,il y a quoi alors ?,,, ,Anae/2428.cha,1,clara,,,
5025,CHI,target_child,oh !,,, ,Anae/2428.cha,MOT,clara,,,
5026,CHI,target_child,oh !,%act CHI tend son doigt vers MOT ,,%act CHI tend son doigt vers MOT  ,Anae/2428.cha,MOT,clara,,,
5027,CHI,target_child,oh .,,, ,Anae/2428.cha,MOT,clara,,,
5028,MOT,mother,qu'est-ce qu'il se passe ?,,, ,Anae/2428.cha,1,clara,,,
5029,CHI,target_child,[=! gémit] .,,, ,Anae/2428.cha,NA,clara,,,
5030,MOT,mother,un p(e)tit peu de pâte à modeler sous l'ongle mais c'est pas grave .,,, ,Anae/2428.cha,1,clara,,,
5031,BRO,Brother,maman ?,,, ,Anae/2428.cha,MOT,clara,,,
5032,MOT,mother,oui ?,,, ,Anae/2428.cha,BRO,clara,,,
5033,BRO,Brother,pourquoi on va pas s(e) promener ?,,, ,Anae/2428.cha,MOT,clara,,,
5034,MOT,mother,< ça y est !,,, ,Anae/2428.cha,1,clara,,,
