NAME,ROME,UTTERANCE,DIRECTED,COMMENT,,
MOT,Mother,johns mum (14.) .,,,,
Location: Living room,,,,,,
Activities: Other non+play/Toilet,,,,,,
Situation: Mother and Visitor chat,,,,,,
MOT,Mother,xxx (2.) .,,,,
VIS,Visitor,tata then children .,,,,
MOT,Mother,xxx .,,,,
MOT,Mother,I've got one or two actually .,,,,
MOT,Mother,beautiful shapes .,,,,
MOT,Mother,xxx at all .,,,,
VIS,Visitor,when its a bit nearer Christmas . .,,,,
VIS,Visitor,ill come and give you my order (2.) .,,,,
CHI,Benjamin Target_Child,that ones wet .,,,,
MOT,Mother,xxx .,,,,
CHI,Benjamin Target_Child,that ones wet .,,,,
MOT,Mother,<where's your pottie> [>] ?,,,,
VIS,Visitor,xxx [<] .,,,,
MOT,Mother,don't stand there .,,,,
MOT,Mother,go upstairs (3.) .,,,,
CHI,Benjamin Target_Child,0 .,,,,
VIS,Visitor,don't trip over the train (4.) .,,,,
CHI,Benjamin Target_Child,0 .,,,,
NIC,Nicola  Sister,xxx (3.) .,,,,
VIS,Visitor,what did she say ?,,,,
VIS,Visitor,she cant go (2.) ?,,,,
VIS,Visitor,go on .,,,,
VIS,Visitor,off you go then .,,,,
VIS,Visitor,byebye then Benjamin .,,,,
MOT,Mother,ill be up in two minutes .,,,,
CHI,Benjamin Target_Child,0 [=! whimpers] .,,,,
VIS,Visitor,go on hurry up and xxx .,,,,
MOT,Mother,ill be up in two minutes .,,,,
MOT,Mother,go on .,,,,
MOT,Mother,mummie will come up with you .,,,,
VIS,Visitor,ill go on home .,,,,
CHI,Benjamin Target_Child,I want a sweet .,,%com: wants Smarties from Visitor,,
NIC,Nicola  Sister,0 [=! cries] .,,,,
VIS,Visitor,want a sweet ?,,,,
MOT,Mother,I beg your pardon .,,,,
MOT,Mother,what a whiny little voice .,,,,
VIS,Visitor,are they all_gone then (2.) ?,,,,
VIS,Visitor,they're all_gone they're all_gone .,,,,
MOT,Mother,xxx I shall have a girl xxx .,,,,
VIS,Visitor,one yellow one .,,,,
VIS,Visitor,<all_gone now> [>] .,,,,
MOT,Mother,xxx [<] .,,,,
VIS,Visitor,I'd better save some for Matty and Robert .,,,,
VIS,Visitor,there you are (2.) .,,,,
VIS,Visitor,byebye .,,,,
MOT,Mother,xxx .,,,,
MOT,Mother,take it .,,,,
VIS,Visitor,ill bring the xxx to you later on .,,,,
MOT,Mother,xxx .,,,,
VIS,Visitor,tata .,,,,
MOT,Mother,kill that wasp .,,,,
MOT,Mother,want you (10.) ?,,,,
MOT,Mother,go on .,,,,
MOT,Mother,upstairs .,,,,
MOT,Mother,ill come with you .,,,,
MOT,Mother,mind that (2.) .,,,,
MOT,Mother,Nicola .,,,,
MOT,Mother,indoors (2.) .,,,,
NIC,Nicola  Sister,xxx (5.) .,,,,
Location: Living room,,,,,,
Activities: Watching TV,,,,,,
NIC,Nicola  Sister,smarties .,,%com: watching the advertisement on TV,,
CHI,Benjamin Target_Child,smarties (2.) .,,,,
CHI,Benjamin Target_Child,smarties .,,,,
CHI,Benjamin Target_Child,like (1.) Smarties (4.) .,,,,
CHI,Benjamin Target_Child,smarties (14.) .,,,,
NIC,Nicola  Sister,smarties (2.) .,,,,
CHI,Benjamin Target_Child,smarties (30.) .,,,,
Location: Living room,,,,,,
Activities: Watching TV,,,,,,
NIC,Nicola  Sister,I don't want this one [= TV program] .,,,,
NIC,Nicola  Sister,can I change over the picture ?,,,,
NIC,Nicola  Sister,please (3.) ?,,,,
NIC,Nicola  Sister,I don't want this one .,,,,
MOT,Mother,xxx .,,,,
NIC,Nicola  Sister,xxx .,,,,
MOT,Mother,xxx .,,,,
NIC,Nicola  Sister,I want Play_School .,,,,
MOT,Mother,Play_Schools not on now darling .,,,,
MOT,Mother,its too late (3.) .,,,,
CHI,Benjamin Target_Child,0 [=! whimpers] .,,,,
MOT,Mother,Benjamin .,,,,
MOT,Mother,don't kick me (2.) .,,,,
MOT,Mother,big fat bully (3.) .,,,,
CHI,Benjamin Target_Child,0 [=! whimpers] .,,,,
MOT,Mother,what's this fat leg for anyway ?,,,,
CHI,Benjamin Target_Child,0 [=! squeals like a dog] .,,,,
MOT,Mother,what's it for ?,,,,
CHI,Benjamin Target_Child,0 [=! squeals] .,,,,
MOT,Mother,what's it for ?,,,,
CHI,Benjamin Target_Child,0 [=! squeals] [>] .,,,,
MOT,Mother,<what's it for> [<] ?,,,,
CHI,Benjamin Target_Child,zzz [>] .,,,,
MOT,Mother,<what's it for> [<] ?,,,,
MOT,Mother,<tickle^lickle^lickle [: tickle]> [>] (8.) .,,,,
CHI,Benjamin Target_Child,0 [=! laughs and squeals] [<] .,,,,
MOT,Mother,what's this ?,,,,
MOT,Mother,oh .,,,,
CHI,Benjamin Target_Child,&=laughs .,,,,
MOT,Mother,oh tickle him .,,,,
MOT,Mother,oh tickle him (5.) .,,,,
MOT,Mother,what's this ?,,,,
MOT,Mother,big fat bottom (2.) .,,,,
CHI,Benjamin Target_Child,&=laughs .,,,,
MOT,Mother,big fat leg .,,,,
MOT,Mother,and a skinny little knee (6.) .,,,,
MOT,Mother,no .,,,,
MOT,Mother,you're not going to kick anyway .,,,,
MOT,Mother,are you (2.) .,,,,
MOT,Mother,you're too grown up to kick (4.) .,,,,
MOT,Mother,so (i)s Benjamin really (21.) .,,,,
CHI,Benjamin Target_Child,0 .,,,,
Location: Dining area,,,,,,
Activities: Meal tea,,,,,,
MOT,Mother,xxx (10.) .,,,,
CHI,Benjamin Target_Child,0 [=! whimpers] .,,,,
FAT,Father,d(o) you like that ?,,,,
NIC,Nicola  Sister,I used to like that but I don't think Ill have any more .,,,,
NIC,Nicola  Sister,(be)cause I like these [= vegetables] now (2.) .,,,,
NIC,Nicola  Sister,I like these now (11.) .,,,,
MOT,Mother,what are you wanting Benjamin ?,,,,
CHI,Benjamin Target_Child,I want this .,,,,
MOT,Mother,come on .,,,,
CHI,Benjamin Target_Child,no (3.) .,,,,
MOT,Mother,xxx (2.) .,,,,
NIC,Nicola  Sister,I've eat [= eaten] all that up (6.) .,,,,
MOT,Mother,xxx (4.) .,,,,
NIC,Nicola  Sister,that's mine [= plate] isn't it (5.) ?,,,,
CHI,Benjamin Target_Child,I don't like that (6.) .,,,,
CHI,Benjamin Target_Child,I don't like it (2.) .,,,,
NIC,Nicola  Sister,xxx it (10.) ?,,,,
Location: Living room,,,,,,
Activities: Free play and Imaginary Role Play with anther child,,,,,,
Situation: TV is on throughout,,,,,,
NIC,Nicola  Sister,xxx (2.) .,,,,
NIC,Nicola  Sister,look [= at the TV] .,,,,
NIC,Nicola  Sister,look (14.) .,,,,
CHI,Benjamin Target_Child,0 [=! giggles and roars] [>] .,,,,
NIC,Nicola  Sister,0 [=! giggles and roars] [<] .,,,,
NIC,Nicola  Sister,have you seen my bone ?,,,,
CHI,Benjamin Target_Child,no .,,,,
CHI,Benjamin Target_Child,no (2.) .,,,,
NIC,Nicola  Sister,xxx .,,,,
CHI,Benjamin Target_Child,xxx (2.) .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
NIC,Nicola  Sister,be a doggie (7.) .,,,,
NIC,Nicola  Sister,0 [=! giggles] (2.) .,,,,
NIC,Nicola  Sister,xxx [>] .,,,,
CHI,Benjamin Target_Child,<where's my bone> [<] ?,,,,
NIC,Nicola  Sister,yours is stink bomb .,,,,
NIC,Nicola  Sister,yours is stink pot .,,,,
CHI,Benjamin Target_Child,where's my bone ?,,,,
NIC,Nicola  Sister,xxx .,,,,
MOT,Mother,where's his bone .,,,,
MOT,Mother,xxx .,,,,
MOT,Mother,oh .,,,,
NIC,Nicola  Sister,0 [=! giggles] .,,,,
MOT,Mother,xxx .,,,,
NIC,Nicola  Sister,0 [=! squeals] .,,,,
NIC,Nicola  Sister,0 [=! giggles] (2.) .,,,,
NIC,Nicola  Sister,where's my bone ?,,,,
CHI,Benjamin Target_Child,xxx (6.) .,,,,
NIC,Nicola  Sister,0 [=! squeals] .,,,,
CHI,Benjamin Target_Child,where's my bone (10.) ?,,,,
CHI,Benjamin Target_Child,here's my bone .,,,,
NIC,Nicola  Sister,I like big bones (2.) .,,,,
NIC,Nicola  Sister,be a doggie (3.) .,,,,
Location: Living room,,,,,,
Activities: Free play with another child,,,,,,
Situation: Radio is on,,,,,,
NIC,Nicola  Sister,do you want these [= pens] (2.) ?,,%com: they intend drawing,,
CHI,Benjamin Target_Child,yes .,,,,
NIC,Nicola  Sister,what (5.) ?,,,,
CHI,Benjamin Target_Child,xxx .,,,,
NIC,Nicola  Sister,xxx .,,,,
NIC,Nicola  Sister,I've got all sorts of colors (2.) .,,,,
CHI,Benjamin Target_Child,want these colors (4.) .,,,,
CHI,Benjamin Target_Child,this one doesn't work (2.) .,,,,
CHI,Benjamin Target_Child,got blue (4.) .,,,,
CHI,Benjamin Target_Child,this blue doesn't work (2.) .,,,,
NIC,Nicola  Sister,yes it does .,,,,
NIC,Nicola  Sister,I've used mine .,,,,
NIC,Nicola  Sister,blue does work .,,,,
NIC,Nicola  Sister,that blue does work (4.) .,,,,
NIC,Nicola  Sister,I like this one .,,,,
NIC,Nicola  Sister,black .,,,,
NIC,Nicola  Sister,xxx (3.) .,,,,
NIC,Nicola  Sister,xxx (5.) .,,,,
CHI,Benjamin Target_Child,that pen wont .,,,,
CHI,Benjamin Target_Child,it wont work .,,,,
NIC,Nicola  Sister,no .,,,,
NIC,Nicola  Sister,it wont work (3.) .,,,,
CHI,Benjamin Target_Child,but this one will .,,,,
CHI,Benjamin Target_Child,this is orange .,,,,
NIC,Nicola  Sister,xxx (6.) .,,,,
CHI,Benjamin Target_Child,pink .,,,,
CHI,Benjamin Target_Child,xxx .,,,,
CHI,Benjamin Target_Child,orange (7.) .,,,,
Location: Living room,,,,,,
NIC,Nicola  Sister,xxx .,,,,
NIC,Nicola  Sister,xxx (4.) .,,,,
NIC,Nicola  Sister,got dirty hands (2.) .,,,,
MOT,Mother,where all the rest of the tops ?,,,,
CHI,Benjamin Target_Child,don't know .,,,,
MOT,Mother,are you sure ?,,,,
NIC,Nicola  Sister,I'm sure .,,,,
MOT,Mother,they all had tops when I put them out didn't they ?,,,,
CHI,Benjamin Target_Child,mhm (4.) .,,,,
NIC,Nicola  Sister,now they're all_gone .,,,,
MOT,Mother,come on (8.) .,,,,
CHI,Benjamin Target_Child,I [/] I [/] I <do writing> [>] .,,,,
NIC,Nicola  Sister,xxx [<] .,,,,
FAT,Father,xxx .,,,,
CHI,Benjamin Target_Child,I do writing .,,,,
NIC,Nicola  Sister,xxx .,,%com: n and M are talking in .,,
CHI,Benjamin Target_Child,I do like to use purple .,,,,
FAT,Father,you like the purple best don't you ?,,,,
CHI,Benjamin Target_Child,my hands black .,,,,
FAT,Father,you don't have black .,,,,
CHI,Benjamin Target_Child,yes .,,,,
CHI,Benjamin Target_Child,I like black (5.) .,,,,
CHI,Benjamin Target_Child,where's +...,,,,
CHI,Benjamin Target_Child,where are them ?,,,,
MOT,Mother,don't sit on them .,,,,
CHI,Benjamin Target_Child,in there ?,,,,
NIC,Nicola  Sister,xxx .,,,,
CHI,Benjamin Target_Child,in there ?,,,,
NIC,Nicola  Sister,xxx (4.) .,,,,
CHI,Benjamin Target_Child,in there ?,,,,
CHI,Benjamin Target_Child,in there (10.) ?,,,,
CHI,Benjamin Target_Child,<I use> [/] I use orange .,,,,
CHI,Benjamin Target_Child,I do (2.) .,,,,
FAT,Father,you told us didn't you ? ?,,,,
CHI,Benjamin Target_Child,yes I did (2.) .,,,,
CHI,Benjamin Target_Child,I did say black .,,,,
End,,,,,,
"Participants: CHI Benjamin Target_Child, MOT Mother,  NIC Nicola Sister",,,,,,
Comment: Nil,,,,,,
Location: Living room,,,,,,
Activities: Free play with another child,,,,,,
"Situation: The family has just been to the shops. The children have sweet ""cigarettes"" which they pretend to smoke",,,,,,
NIC,Nicola  Sister,parcel on the top ?,,,,
NIC,Nicola  Sister,I'm going to blow smoke at you (6.) .,,,,
CHI,Benjamin Target_Child,0 .,,,,
NIC,Nicola  Sister,0 [=! sneezes twice] .,,,,
NIC,Nicola  Sister,0 [=! giggles] (4.) .,,,,
NIC,Nicola  Sister,0 [=! sings] .,,,,
CHI,Benjamin Target_Child,blow smoke at you (2.) .,,,,
NIC,Nicola  Sister,I just don't like that smoke (4.) .,,,,
NIC,Nicola  Sister,xxx do I (7.) ?,,,,
NIC,Nicola  Sister,xxx up do I (9.) ?,,,,
CHI,Benjamin Target_Child,0 .,,,,
CHI,Benjamin Target_Child,0 .,,,,
NIC,Nicola  Sister,xxx .,,,,
NIC,Nicola  Sister,xxx (6.) .,,,,
NIC,Nicola  Sister,I'm smoking (2.) .,,,,
MOT,Mother,oh (2.) .,,,,
NIC,Nicola  Sister,you shouldn't smoke .,,%com: repeating what Father says to Mother,,
NIC,Nicola  Sister,shouldn't you ?,,,,
CHI,Benjamin Target_Child,0 .,,,,
NIC,Nicola  Sister,you shouldn't smoke (2.) .,,,,
NIC,Nicola  Sister,you shouldn't smoke (6.) .,,,,
Location: Living room,,,,,,
Activities: Helping,,,,,,
Situation: They are tidying up the toy cupboard,,,,,,
MOT,Mother,see if it's up on the settee .,,%com: children have lost something,,
MOT,Mother,<perhaps it's up on> [//] I don't know (3.) .,,,,
CHI,Benjamin Target_Child,0 .,,,,
NIC,Nicola  Sister,xxx ?,,,,
MOT,Mother,xxx (3.) .,,,,
NIC,Nicola  Sister,I've found it (2.) .,,,,
MOT,Mother,have you (2.) ?,,,,
NIC,Nicola  Sister,yes (4.) .,,,,
NIC,Nicola  Sister,&-uh .,,,,
CHI,Benjamin Target_Child,that's done it (2.) .,,,,
NIC,Nicola  Sister,there .,,,,
CHI,Benjamin Target_Child,shall we take it ?,,,,
NIC,Nicola  Sister,no .,,,,
NIC,Nicola  Sister,mustn't touch it must we ?,,,,
CHI,Benjamin Target_Child,it m(ight) .,,,,
CHI,Benjamin Target_Child,it might .,,,,
NIC,Nicola  Sister,0 [=! squeaks ,,,,
NIC,Nicola  Sister,&=laughs .,,,,
NIC,Nicola  Sister,0 [=! squeaks] (2.) .,,,,
NIC,Nicola  Sister,aren't we clever ?,,,,
MOT,Mother,yes you are clever [>] .,,,,
CHI,Benjamin Target_Child,sure [<] .,,,,
CHI,Benjamin Target_Child,aren't we clever ?,,,,
MOT,Mother,you are .,,,,
CHI,Benjamin Target_Child,yes .,,,,
CHI,Benjamin Target_Child,yes [>] .,,,,
MOT,Mother,<aren't> [<] you clever ?,,,,
CHI,Benjamin Target_Child,yes we are clever .,,,,
MOT,Mother,that [= one of the toy cupboard doors] doesn't go back any further .,,,,
MOT,Mother,I thought that would go back further than that (3.) .,,,,
MOT,Mother,you left your ball by the fire .,,,,
MOT,Mother,and it's got a hump in it now (3.) .,,,,
MOT,Mother,boom .,,%com: throws ball at Benjamin,,
MOT,Mother,boom (2.) .,,,,
NIC,Nicola  Sister,where [= where is the lump] ?,,,,
MOT,Mother,boom .,,,,
MOT,Mother,boom [>] .,,,,
CHI,Benjamin Target_Child,where [<] ?,,%com: speaker may be Nicola,,
MOT,Mother,boom oh .,,,,
CHI,Benjamin Target_Child,where ?,,%com: speaker may be Nicola,,
MOT,Mother,I stumbled on xxx sponge (2.) .,,,,
CHI,Benjamin Target_Child,where ?,,%com: speaker may be Nicola <bef> picked up a pen and is eating the end,,
MOT,Mother,don't eat that pen .,,,,
CHI,Benjamin Target_Child,where ?,,%com: speaker may be Nicola,,
MOT,Mother,don't eat that pen please (3.) .,,,,
