targetchild,speaker,addressee,session,numberoflines,numberofwords,numberofmorphemes,mlu,mlumorphemes,mattr,numberofuttsinglewords,numberofhapaxes,percquest,ratioturn
Anais,mother,OCDS,Anais_247b.cha,38,172,213,4.526,5.605,0.92345679,4,67,0.105,0.358
Anais,mother,OCDS,Anais_242a.cha,,,,,,,,,,
Anais,mother,OCDS,Anais_242b.cha,,,,,,,,,,
Anais,mother,OCDS,Anais_2511a.cha,,,,,,,,,,
Anais,mother,OCDS,Anais_2511b.cha,,,,,,,,,,
Anais,mother,OCDS,Anais_2523a.cha,,,,,,,,,,
Anais,mother,OCDS,Anais_2525a.cha,,,,,,,,,,
Anais,mother,OCDS,Anais_2621a.cha,,,,,,,,,,
Anais,mother,OCDS,Anais_28a.cha,61,240,304,3.934,4.983,0.934782609,11,75,0.163,0.328
Anais,mother,OCDS,Anais_296b.cha,,,,,,,,,,
Theotime,mother,OCDS,Theotime_2111a.cha,,,,,,,,,,
Theotime,mother,OCDS,Theotime_239b.cha,16,57,66,3.562,4.125,0.882978723,5,32,0.25,0.333
Theotime,mother,OCDS,Theotime_2324a.cha,28,130,167,4.642,5.964,0.909166667,3,44,0.178,0.533
Theotime,mother,OCDS,Theotime_2324b.cha,2,5,6,2.5,3,,1,5,0,0.5
Theotime,mother,OCDS,Theotime_2422a.cha,28,129,162,4.607,5.785,0.942016807,6,47,0,0.321
Theotime,mother,OCDS,Theotime_252a.cha,40,129,156,3.225,3.9,0.894117647,12,75,0.125,0.533
Theotime,mother,OCDS,Theotime_263a.cha,38,200,256,5.263,6.736,0.916842105,4,75,0.078,0.157
Theotime,mother,OCDS,Theotime_273a.cha,,,,,,,,,,
Theotime,mother,OCDS,Theotime_2112a.cha,,,,,,,,,,
Anae,mother,ADS,Anae_215.cha,1,3,3,3,3,,0,3,1,1
Anae,mother,ADS,Anae_2216.cha,,,,,,,,,,
Anae,mother,ADS,Anae_2428.cha,7,39,47,5.571,6.714,0.94137931,1,26,0.285,0.5
Anae,mother,ADS,Anae_2529.cha,,,,,,,,,,
Anae,mother,ADS,Anae_2626.cha,2,5,7,2.5,3.5,,0,5,0.5,0
Anae,mother,ADS,Anae_284.cha,4,22,24,5.5,6,0.908333333,0,12,0.25,1
Anae,mother,ADS,Anae_2923.cha,,,,,,,,,,
Anae,mother,ADS,Anae_2123.cha,10,33,43,3.3,4.3,0.965217391,1,26,0.1,0.636
Anae,mother,ADS,Anae_21122.cha,1,5,7,5,7,,0,5,0,0
Anae,mother,ADS,Anae_317.cha,4,13,18,3.25,4.5,0.866666667,1,9,0.25,0.4
Anais,mother,ADS,Anais_239a.cha,3,10,11,3.333333333,3.666666667,,1,6,0,0.333
Anais,mother,ADS,Anais_247b.cha,,,,,,,,,,
Anais,mother,ADS,Anais_242a.cha,,,,,,,,,,
Anais,mother,ADS,Anais_242b.cha,,,,,,,,,,
Anais,mother,ADS,Anais_2511a.cha,2,11,13,5.5,6.5,,0,10,0.5,0.5
Anais,mother,ADS,Anais_2511b.cha,,,,,,,,,,
Anais,mother,ADS,Anais_2523a.cha,,,,,,,,,,
Anais,mother,ADS,Anais_2525a.cha,1,1,2,1,2,,1,1,0,1
Anais,mother,ADS,Anais_2621a.cha,15,62,81,4.133,5.4,0.963461538,4,26,0.266,0.388
Anais,mother,ADS,Anais_28a.cha,2,6,7,3,3.5,,0,6,0,0.666
