keychild register speakers largetotalperchildreg sumperSpeakerChild average.1 average.2 session total.x largetotalperchildkey total.y nb_utt percentage percentageperSpeakerRegisterChild
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020600cd.cha 393 11221 393 257  65.3944020 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-030000cd.cha 286 11221 286 104  36.3636364 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020200ab.cha 998 11221 998 269  26.9539078 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020400cd.cha 738 11221 738 239  32.3848238 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020600ab.cha 444 11221 444 172  38.7387387 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020900cd.cha 359 11221 359 206  57.3816156 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020800cd.cha 371 11221 371  71  19.1374663 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020100ab.cha 428 11221 428  28   6.5420561 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020100ef.cha 461 11221 461 104  22.5596529 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-021100cd.cha 550 11221 550 251  45.6363636 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-021100ab.cha 232 11221 232 124  53.4482759 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020500ab.cha 627 11221 627 413  65.8692185 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020500cd.cha 970 11221 970 146  15.0515464 39.007218608
Hlobohang CDS child 4377 4979 41.89 24.54 Hlobohang-020700ab.cha 366 11221 366 184  50.2732240 39.007218608
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-020500cd.cha 970 11221 970  58   5.9793814 13.742090723
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-020100ef.cha 461 11221 461 125  27.1149675 13.742090723
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-020600cd.cha 393 11221 393  36   9.1603053 13.742090723
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-030000cd.cha 286 11221 286  19   6.6433566 13.742090723
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-020800ab.cha 328 11221 328   9   2.7439024 13.742090723
Hlobohang CDS mother 1542 1681 19.69 22.59 Hlobohang-020700cd.cha 632 11221 632  42   6.6455696 13.742090723
