keychild register sumperRegisterChild averagepersession.1 averagepersession.2 largetotalperchild session total nb_utt percentageperSessionRegisterChild percentageperRegisterChild
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-040700cd.cha  307   54 17.58957655  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-030800ab.cha  313   13  4.15335463  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-040500cd.cha  774  129 16.66666667  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-040300f.cha  164    8  4.87804878  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-040700e.cha  163   25 15.33742331  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-040100cd.cha  795  154 19.37106918  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-030900a.cha  415    9  2.16867470  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-040300cd.cha  608   21  3.45394737  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-040500ab.cha  500   64 12.80000000  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-031000e.cha  592    9  1.52027027  9.3060662
Neuoe Investigator  1215  9.91  6.37 13056 Neuoe-040100ab.cha 1027   28  2.72638754  9.3060662
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-040300f.cha  164   68 41.46341463 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-031000e.cha  592  117 19.76351351 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-040700cd.cha  307  177 57.65472313 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-031000ab.cha 1128  462 40.95744681 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-031000cd.cha 1082  449 41.49722736 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-030800ab.cha  313  147 46.96485623 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-030900b.cha  154   78 50.64935065 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-030800ef.cha  310  184 59.35483871 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-030800cd.cha  457  311 68.05251641 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-040300e.cha  182   55 30.21978022 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-040500cd.cha  774  380 49.09560724 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-040700e.cha  163   80 49.07975460 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-040000ab.cha 1050  662 63.04761905 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-030900a.cha  415  308 74.21686747 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-040300cd.cha  608  267 43.91447368 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-040300ab.cha  998  483 48.39679359 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-040000cd.cha  936  442 47.22222222 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-040500e.cha  176   79 44.88636364 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-040100ef.cha  630  412 65.39682540 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-040700ab.cha  295  115 38.98305085 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-040100cd.cha  795  336 42.26415094 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-040500ab.cha  500  157 31.40000000 47.2196691
Neuoe OCDS  6165 47.52 12.79 13056 Neuoe-040100ab.cha 1027  396 38.55890944 47.2196691
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-031000cd.cha 1082    9  0.83179298  1.6927083
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-040000cd.cha  936   10  1.06837607  1.6927083
Neuoe unclassified   221  2.11  2.91 13056 Neuoe-040300f.cha  164    2  1.21951220  1.6927083
