keychild register speakers largetotalperchild sumperSpeakerChild average.1 average.2 session total nb_utt percentage percentageperSpeakerRegisterChild
Anais CDS mother 4590 4849 86.36 12.78 Anais/2621a.cha  482 431 89.41908714   105.6427
Anais CDS mother 4590 4849 86.36 12.78 Anais/28a.cha  778 576 74.03598972   105.6427
Anais CDS mother 4590 4849 86.36 12.78 Anais/2511b.cha  652 639 98.00613497   105.6427
Anais CDS mother 4590 4849 86.36 12.78 Anais/2511a.cha  665 653 98.19548872   105.6427
Anais CDS mother 4590 4849 86.36 12.78 Anais/239a.cha  511 437 85.51859100   105.6427
Anais CDS mother 4590 4849 86.36 12.78 Anais/247b.cha  368 242 65.76086957   105.6427
Anais CDS mother 4590 4849 86.36 12.78 Anais/2523a.cha  707 684 96.74681754   105.6427
Anais CDS mother 4590 4849 86.36 12.78 Anais/247a.cha  548 394 71.89781022   105.6427
Anais CDS mother 4590 4849 86.36 12.78 Anais/2525a.cha  547 534 97.62340037   105.6427
Anais Investigator adult   33 1984  2.18  2.25 Anais/296b.cha  511   3  0.58708415  6012.1212
Anais Investigator adult   33 1984  2.18  2.25 Anais/242a.cha  796  30  3.76884422  6012.1212
Anais Investigator investigator    1  108  0.13 NA Anais/242a.cha  796   1  0.12562814 10800.0000
Anais Investigator mother   54 4849  1.64  2.32 Anais/2525a.cha  547   8  1.46252285  8979.6296
Anais Investigator mother   54 4849  1.64  2.32 Anais/28a.cha  778   3  0.38560411  8979.6296
Anais Investigator mother   54 4849  1.64  2.32 Anais/2621a.cha  482   2  0.41493776  8979.6296
Anais Investigator mother   54 4849  1.64  2.32 Anais/2523a.cha  707   8  1.13154173  8979.6296
Anais Investigator mother   54 4849  1.64  2.32 Anais/247a.cha  548   1  0.18248175  8979.6296
Anais Investigator mother   54 4849  1.64  2.32 Anais/239a.cha  511  32  6.26223092  8979.6296
Anais OCDS child    1  276  0.13 NA Anais/28a.cha  778   1  0.12853470 27600.0000
Anais OCDS investigator    1  108  0.18 NA Anais/247a.cha  548   1  0.18248175 10800.0000
Anais OCDS mother  170 4849  7.77  5.29 Anais/247b.cha  368  39 10.59782609  2852.3529
Anais OCDS mother  170 4849  7.77  5.29 Anais/247a.cha  548  66 12.04379562  2852.3529
Anais OCDS mother  170 4849  7.77  5.29 Anais/239a.cha  511   1  0.19569472  2852.3529
Anais OCDS mother  170 4849  7.77  5.29 Anais/28a.cha  778  64  8.22622108  2852.3529
Anais unclassified adult   10 1984  0.57  0.54 Anais/242a.cha  796   3  0.37688442 19840.0000
Anais unclassified adult   10 1984  0.57  0.54 Anais/296b.cha  511   6  1.17416830 19840.0000
Anais unclassified adult   10 1984  0.57  0.54 Anais/242b.cha  667   1  0.14992504 19840.0000
Anais unclassified child    2  276  0.20  0.10 Anais/28a.cha  778   1  0.12853470 13800.0000
Anais unclassified child    2  276  0.20  0.10 Anais/247b.cha  368   1  0.27173913 13800.0000
Anais unclassified investigator    2  108  0.41 NA Anais/2621a.cha  482   2  0.41493776  5400.0000
Anais unclassified mother    6 4849  0.27  0.19 Anais/247a.cha  548   3  0.54744526 80816.6667
Anais unclassified mother    6 4849  0.27  0.19 Anais/2511a.cha  665   1  0.15037594 80816.6667
Anais unclassified mother    6 4849  0.27  0.19 Anais/247b.cha  368   1  0.27173913 80816.6667
Anais unclassified mother    6 4849  0.27  0.19 Anais/28a.cha  778   1  0.12853470 80816.6667
Theotime ADS child  137  214  4.69  3.12 Theotime/263a.cha  469  13  2.77185501   156.2044
Theotime ADS child  137  214  4.69  3.12 Theotime/2112a.cha  354   1  0.28248588   156.2044
Theotime ADS child  137  214  4.69  3.12 Theotime/2422a.cha  524  31  5.91603053   156.2044
Theotime ADS child  137  214  4.69  3.12 Theotime/2324a.cha  465  20  4.30107527   156.2044
