targetchild,speaker,addressee,session,numberoflines,numberofwords,mlu,mattr,numberofuttsinglewords,numberofhapaxes,percquest,ratioturn
Litlhare,mother,ADS,Litlhare-020600e.cha,,,,,,,,
Litlhare,mother,ADS,Litlhare-020800ab.cha,,,,,,,,
Litlhare,mother,ADS,Litlhare-020800cd.cha,,,,,,,,
Litlhare,mother,ADS,Litlhare-020900ab.cha,4,14,3.500,0.775,0,5,1.000,0
Litlhare,mother,ADS,Litlhare-020900cd.cha,,,,,,,,
Litlhare,mother,ADS,Litlhare-021000ab.cha,,,,,,,,
Litlhare,mother,ADS,Litlhare-021000cd.cha,,,,,,,,
Litlhare,mother,ADS,Litlhare-030200ab.cha,9,35,3.888,0.928,0,24,0,.222
Litlhare,mother,ADS,Litlhare-030200cd.cha,,,,,,,,0
Neuoe,mother,ADS,Neuoe-030800ab.cha,,,,,,,,
Neuoe,mother,ADS,Neuoe-030800cd.cha,,,,,,,,
Neuoe,mother,ADS,Neuoe-030800ef.cha,,,,,,,,
Neuoe,mother,ADS,Neuoe-030900a.cha,,,,,,,,
Neuoe,mother,ADS,Neuoe-030900b.cha,,,,,,,,0
Neuoe,mother,ADS,Neuoe-031000ab.cha,11,27,2.454,0.847058823529,4,13,0,.272
Neuoe,mother,ADS,Neuoe-031000cd.cha,9,29,3.222,0.910526315789,2,18,.111,.333
Neuoe,mother,ADS,Neuoe-031000e.cha,,,,,,,,
Neuoe,mother,ADS,Neuoe-040000ab.cha,,,,,,,,
Neuoe,mother,ADS,Neuoe-040000cd.cha,,,,,,,,
Neuoe,mother,ADS,Neuoe-040100ab.cha,2,14,7.000,1.0,0,12,0,0
Neuoe,mother,ADS,Neuoe-040100cd.cha,,,,,,,,0
Neuoe,mother,ADS,Neuoe-040100ef.cha,,,,,,,,
Neuoe,mother,ADS,Neuoe-040300ab.cha,,,,,,,,1.000
Neuoe,mother,ADS,Neuoe-040300cd.cha,,,,,,,,
Neuoe,mother,ADS,Neuoe-040300e.cha,,,,,,,,
Neuoe,mother,ADS,Neuoe-040300f.cha,2,14,7.000,0.9,0,12,.500,0
Neuoe,mother,ADS,Neuoe-040500ab.cha,,,,,,,,0
Neuoe,mother,ADS,Neuoe-040500cd.cha,,,,,,,,
Neuoe,mother,ADS,Neuoe-040500e.cha,,,,,,,,
Neuoe,mother,ADS,Neuoe-040700ab.cha,,,,,,,,
Neuoe,mother,ADS,Neuoe-040700cd.cha,,,,,,,,
Neuoe,mother,ADS,Neuoe-040700e.cha,,,,,,,,
Hlobohang,child,CDS,Hlobohang-020100ab.cha,28,58,2.071,0.904166666667,11,33,.250,.518
Hlobohang,child,CDS,Hlobohang-020100cd.cha,148,340,2.297,0.759090909091,56,61,.614,.429
Hlobohang,child,CDS,Hlobohang-020100ef.cha,104,225,2.163,0.774418604651,36,70,.096,.401
Hlobohang,child,CDS,Hlobohang-020200ab.cha,269,742,2.758,0.827322404372,53,165,.185,.344
Hlobohang,child,CDS,Hlobohang-020200cd.cha,449,1291,2.875,0.836924277908,63,283,.131,.483
Hlobohang,child,CDS,Hlobohang-020400ab.cha,492,1229,2.497,0.811238720263,138,220,.176,.347
Hlobohang,child,CDS,Hlobohang-020400cd.cha,239,699,2.924,0.814513788099,46,169,.146,.367
Hlobohang,child,CDS,Hlobohang-020500ab.cha,413,1095,2.651,0.859170506912,101,239,.230,.424
Hlobohang,child,CDS,Hlobohang-020500cd.cha,146,361,2.472,0.876353276353,46,114,.301,.589
Hlobohang,child,CDS,Hlobohang-021100ab.cha,124,297,2.395,0.860975609756,38,109,.088,.590
Hlobohang,child,CDS,Hlobohang-021100cd.cha,251,650,2.589,0.85234375,61,202,.043,.489
Hlobohang,child,CDS,Hlobohang-020600ab.cha,172,461,2.680,0.883592017738,33,160,.098,.526
Hlobohang,child,CDS,Hlobohang-020600cd.cha,257,740,2.879,0.918493150685,49,248,.120,.446
