"register" "speakers" "keychild" "session" "nb_utt"
"unclassified" "mother" "Litlhare" "Litlhare-020100ab.cha" 5
"ADS" "child" "Litlhare" "Litlhare-020100cd.cha" 18
"CDS" "child" "Litlhare" "Litlhare-020100cd.cha" 139
"OCDS" "child" "Litlhare" "Litlhare-020100cd.cha" 3
"unclassified" "child" "Litlhare" "Litlhare-020100cd.cha" 1
"ADS" "mother" "Litlhare" "Litlhare-020100cd.cha" 3
"CDS" "mother" "Litlhare" "Litlhare-020100cd.cha" 541
"OCDS" "mother" "Litlhare" "Litlhare-020100cd.cha" 25
"unclassified" "mother" "Litlhare" "Litlhare-020100cd.cha" 2
"ADS" "child" "Litlhare" "Litlhare-020100ef.cha" 24
"CDS" "child" "Litlhare" "Litlhare-020100ef.cha" 511
"OCDS" "child" "Litlhare" "Litlhare-020100ef.cha" 51
"unclassified" "child" "Litlhare" "Litlhare-020100ef.cha" 2
"CDS" "mother" "Litlhare" "Litlhare-020100ef.cha" 152
"OCDS" "mother" "Litlhare" "Litlhare-020100ef.cha" 26
"unclassified" "mother" "Litlhare" "Litlhare-020100ef.cha" 1
"CDS" "adult" "Litlhare" "Litlhare-020200ab.cha" 27
"ADS" "child" "Litlhare" "Litlhare-020200ab.cha" 20
"CDS" "child" "Litlhare" "Litlhare-020200ab.cha" 148
"OCDS" "child" "Litlhare" "Litlhare-020200ab.cha" 1
"unclassified" "child" "Litlhare" "Litlhare-020200ab.cha" 1
"CDS" "mother" "Litlhare" "Litlhare-020200ab.cha" 459
"OCDS" "mother" "Litlhare" "Litlhare-020200ab.cha" 6
"ADS" "child" "Litlhare" "Litlhare-020200cd.cha" 2
"CDS" "child" "Litlhare" "Litlhare-020200cd.cha" 99
"OCDS" "child" "Litlhare" "Litlhare-020200cd.cha" 7
"CDS" "mother" "Litlhare" "Litlhare-020200cd.cha" 294
"OCDS" "mother" "Litlhare" "Litlhare-020200cd.cha" 4
"unclassified" "mother" "Litlhare" "Litlhare-020200cd.cha" 1
"ADS" "child" "Litlhare" "Litlhare-020400ab.cha" 50
"CDS" "child" "Litlhare" "Litlhare-020400ab.cha" 332
"OCDS" "child" "Litlhare" "Litlhare-020400ab.cha" 1
"unclassified" "child" "Litlhare" "Litlhare-020400ab.cha" 1
"CDS" "mother" "Litlhare" "Litlhare-020400ab.cha" 451
"OCDS" "mother" "Litlhare" "Litlhare-020400ab.cha" 61
"unclassified" "mother" "Litlhare" "Litlhare-020400ab.cha" 3
"CDS" "adult" "Litlhare" "Litlhare-020400cd.cha" 4
"ADS" "child" "Litlhare" "Litlhare-020400cd.cha" 18
"CDS" "child" "Litlhare" "Litlhare-020400cd.cha" 299
"OCDS" "child" "Litlhare" "Litlhare-020400cd.cha" 13
"unclassified" "child" "Litlhare" "Litlhare-020400cd.cha" 1
"ADS" "mother" "Litlhare" "Litlhare-020400cd.cha" 1
"CDS" "mother" "Litlhare" "Litlhare-020400cd.cha" 140
"OCDS" "mother" "Litlhare" "Litlhare-020400cd.cha" 27
"unclassified" "mother" "Litlhare" "Litlhare-020400cd.cha" 2
"CDS" "adult" "Litlhare" "Litlhare-020500ab.cha" 27
"OCDS" "adult" "Litlhare" "Litlhare-020500ab.cha" 1
"ADS" "child" "Litlhare" "Litlhare-020500ab.cha" 2
"CDS" "child" "Litlhare" "Litlhare-020500ab.cha" 445
"OCDS" "child" "Litlhare" "Litlhare-020500ab.cha" 21
"unclassified" "child" "Litlhare" "Litlhare-020500ab.cha" 4
"CDS" "adult" "Litlhare" "Litlhare-020500cd.cha" 43
"OCDS" "adult" "Litlhare" "Litlhare-020500cd.cha" 10
"unclassified" "adult" "Litlhare" "Litlhare-020500cd.cha" 1
"ADS" "child" "Litlhare" "Litlhare-020500cd.cha" 17
"CDS" "child" "Litlhare" "Litlhare-020500cd.cha" 333
"OCDS" "child" "Litlhare" "Litlhare-020500cd.cha" 26
"unclassified" "child" "Litlhare" "Litlhare-020500cd.cha" 6
"CDS" "mother" "Litlhare" "Litlhare-020500cd.cha" 31
"OCDS" "mother" "Litlhare" "Litlhare-020500cd.cha" 9
"unclassified" "mother" "Litlhare" "Litlhare-020500cd.cha" 3
"ADS" "adult" "Litlhare" "Litlhare-020500ef.cha" 1
"CDS" "adult" "Litlhare" "Litlhare-020500ef.cha" 52
"CDS" "child" "Litlhare" "Litlhare-020500ef.cha" 1
"ADS" "mother" "Litlhare" "Litlhare-020500ef.cha" 1
"CDS" "mother" "Litlhare" "Litlhare-020500ef.cha" 254
"unclassified" "mother" "Litlhare" "Litlhare-020500ef.cha" 1
"ADS" "adult" "Litlhare" "Litlhare-020600ab.cha" 1
"CDS" "adult" "Litlhare" "Litlhare-020600ab.cha" 27
"CDS" "child" "Litlhare" "Litlhare-020600ab.cha" 2
"ADS" "mother" "Litlhare" "Litlhare-020600ab.cha" 4
"CDS" "mother" "Litlhare" "Litlhare-020600ab.cha" 610
"unclassified" "mother" "Litlhare" "Litlhare-020600ab.cha" 1
"CDS" "adult" "Litlhare" "Litlhare-020600cd.cha" 1
"ADS" "child" "Litlhare" "Litlhare-020600cd.cha" 17
"CDS" "child" "Litlhare" "Litlhare-020600cd.cha" 197
"OCDS" "child" "Litlhare" "Litlhare-020600cd.cha" 1
"ADS" "mother" "Litlhare" "Litlhare-020600cd.cha" 2
"CDS" "mother" "Litlhare" "Litlhare-020600cd.cha" 332
"OCDS" "mother" "Litlhare" "Litlhare-020600cd.cha" 39
"CDS" "mother" "Litlhare" "Litlhare-020600e.cha" 26
"ADS" "child" "Litlhare" "Litlhare-020800ab.cha" 2
"CDS" "child" "Litlhare" "Litlhare-020800ab.cha" 393
"OCDS" "child" "Litlhare" "Litlhare-020800ab.cha" 6
"unclassified" "child" "Litlhare" "Litlhare-020800ab.cha" 1
"CDS" "mother" "Litlhare" "Litlhare-020800ab.cha" 5
"OCDS" "mother" "Litlhare" "Litlhare-020800ab.cha" 2
"unclassified" "mother" "Litlhare" "Litlhare-020800ab.cha" 1
"CDS" "adult" "Litlhare" "Litlhare-020800cd.cha" 2
"CDS" "child" "Litlhare" "Litlhare-020800cd.cha" 342
"OCDS" "child" "Litlhare" "Litlhare-020800cd.cha" 1
"ADS" "child" "Litlhare" "Litlhare-020900ab.cha" 16
"CDS" "child" "Litlhare" "Litlhare-020900ab.cha" 326
"OCDS" "child" "Litlhare" "Litlhare-020900ab.cha" 12
"unclassified" "child" "Litlhare" "Litlhare-020900ab.cha" 1
"ADS" "mother" "Litlhare" "Litlhare-020900ab.cha" 4
"CDS" "mother" "Litlhare" "Litlhare-020900ab.cha" 245
"OCDS" "mother" "Litlhare" "Litlhare-020900ab.cha" 14
"CDS" "child" "Litlhare" "Litlhare-020900cd.cha" 20
"unclassified" "child" "Litlhare" "Litlhare-020900cd.cha" 1
"CDS" "mother" "Litlhare" "Litlhare-020900cd.cha" 40
"CDS" "adult" "Litlhare" "Litlhare-021000ab.cha" 11
"CDS" "child" "Litlhare" "Litlhare-021000ab.cha" 717
"OCDS" "child" "Litlhare" "Litlhare-021000ab.cha" 20
"unclassified" "child" "Litlhare" "Litlhare-021000ab.cha" 1
