keychild register speakers largetotalperchild sumperSpeakerChild average.1 average.2 session total nb_utt percentage percentageperSpeakerRegisterChild
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-020800ab.cha  559   5  0.89445438    108.6291
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-020200ab.cha  692 459 66.32947977    108.6291
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-020900cd.cha  854  40  4.68384075    108.6291
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-020100ab.cha 1047 275 26.26552053    108.6291
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-030000cd.cha  717 291 40.58577406    108.6291
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-020600cd.cha  606 332 54.78547855    108.6291
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-020600e.cha   27  26 96.29629630    108.6291
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-020400cd.cha  606 140 23.10231023    108.6291
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-020200cd.cha  550 294 53.45454545    108.6291
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-020900ab.cha  858 245 28.55477855    108.6291
Litlhare CDS mother 5099 5539 43.25 27.66 Litlhare-030200ab.cha  909 389 42.79427943    108.6291
Litlhare Investigator adult    8  348  0.67  0.81 Litlhare-020500cd.cha  562   7  1.24555160   4350.0000
Litlhare Investigator adult    8  348  0.67  0.81 Litlhare-020100ab.cha 1047   1  0.09551098   4350.0000
Litlhare Investigator child  159 7007  1.32  1.20 Litlhare-020800cd.cha  580  19  3.27586207   4406.9182
Litlhare Investigator child  159 7007  1.32  1.20 Litlhare-020400ab.cha 1060  12  1.13207547   4406.9182
Litlhare Investigator child  159 7007  1.32  1.20 Litlhare-021000ab.cha  911   8  0.87815587   4406.9182
Litlhare Investigator child  159 7007  1.32  1.20 Litlhare-030000cd.cha  717   2  0.27894003   4406.9182
Litlhare Investigator child  159 7007  1.32  1.20 Litlhare-030200ab.cha  909  19  2.09020902   4406.9182
Litlhare Investigator child  159 7007  1.32  1.20 Litlhare-020900cd.cha  854   4  0.46838407   4406.9182
Litlhare Investigator child  159 7007  1.32  1.20 Litlhare-020500cd.cha  562   5  0.88967972   4406.9182
Litlhare Investigator child  159 7007  1.32  1.20 Litlhare-020100ab.cha 1047  12  1.14613181   4406.9182
Litlhare Investigator child  159 7007  1.32  1.20 Litlhare-020400cd.cha  606   5  0.82508251   4406.9182
Litlhare Investigator child  159 7007  1.32  1.20 Litlhare-030200cd.cha  863   5  0.57937428   4406.9182
Litlhare Investigator child  159 7007  1.32  1.20 Litlhare-020200cd.cha  550   2  0.36363636   4406.9182
Litlhare Investigator child  159 7007  1.32  1.20 Litlhare-020800ab.cha  559  25  4.47227191   4406.9182
Litlhare Investigator child  159 7007  1.32  1.20 Litlhare-030000ab.cha  487   1  0.20533881   4406.9182
Litlhare Investigator child  159 7007  1.32  1.20 Litlhare-020900ab.cha  858  13  1.51515152   4406.9182
Litlhare Investigator child  159 7007  1.32  1.20 Litlhare-020600cd.cha  606   1  0.16501650   4406.9182
Litlhare Investigator child  159 7007  1.32  1.20 Litlhare-021000cd.cha  504  14  2.77777778   4406.9182
Litlhare Investigator child  159 7007  1.32  1.20 Litlhare-020100ef.cha  850  12  1.41176471   4406.9182
Litlhare Investigator investigator    3 2683  0.23  0.18 Litlhare-020800ab.cha  559   2  0.35778175  89433.3333
Litlhare Investigator investigator    3 2683  0.23  0.18 Litlhare-021000ab.cha  911   1  0.10976948  89433.3333
Litlhare Investigator mother   37 5539  0.36  0.28 Litlhare-020400cd.cha  606   4  0.66006601  14970.2703
Litlhare Investigator mother   37 5539  0.36  0.28 Litlhare-030000ab.cha  487   1  0.20533881  14970.2703
Litlhare Investigator mother   37 5539  0.36  0.28 Litlhare-020200ab.cha  692   1  0.14450867  14970.2703
Litlhare Investigator mother   37 5539  0.36  0.28 Litlhare-020100cd.cha  819   2  0.24420024  14970.2703
Litlhare Investigator mother   37 5539  0.36  0.28 Litlhare-020400ab.cha 1060   2  0.18867925  14970.2703
Litlhare Investigator mother   37 5539  0.36  0.28 Litlhare-020900cd.cha  854   1  0.11709602  14970.2703
Litlhare Investigator mother   37 5539  0.36  0.28 Litlhare-020200cd.cha  550   1  0.18181818  14970.2703
Litlhare Investigator mother   37 5539  0.36  0.28 Litlhare-020500ef.cha  359   1  0.27855153  14970.2703
Litlhare Investigator mother   37 5539  0.36  0.28 Litlhare-030200ab.cha  909  10  1.10011001  14970.2703
Litlhare Investigator mother   37 5539  0.36  0.28 Litlhare-030200cd.cha  863   1  0.11587486  14970.2703
Litlhare Investigator mother   37 5539  0.36  0.28 Litlhare-020900ab.cha  858   5  0.58275058  14970.2703
Litlhare Investigator mother   37 5539  0.36  0.28 Litlhare-030000cd.cha  717   3  0.41841004  14970.2703
Litlhare Investigator mother   37 5539  0.36  0.28 Litlhare-020100ab.cha 1047   5  0.47755492  14970.2703
Litlhare OCDS adult   29  348  0.75  0.75 Litlhare-020500cd.cha  562  10  1.77935943   1200.0000
Litlhare OCDS adult   29  348  0.75  0.75 Litlhare-030200ab.cha  909   2  0.22002200   1200.0000
Litlhare OCDS adult   29  348  0.75  0.75 Litlhare-030200cd.cha  863   2  0.23174971   1200.0000
Litlhare OCDS adult   29  348  0.75  0.75 Litlhare-020500ab.cha  505   1  0.19801980   1200.0000
Litlhare OCDS adult   29  348  0.75  0.75 Litlhare-020100ab.cha 1047  14  1.33715377   1200.0000
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-020100ef.cha  850  51  6.00000000   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-020200cd.cha  550   7  1.27272727   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-030000ab.cha  487  13  2.66940452   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-020500cd.cha  562  26  4.62633452   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-020800ab.cha  559   6  1.07334526   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-020500ab.cha  505  21  4.15841584   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-030000cd.cha  717   3  0.41841004   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-030200cd.cha  863  44  5.09849363   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-020800cd.cha  580   1  0.17241379   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-020600cd.cha  606   1  0.16501650   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-020400cd.cha  606  13  2.14521452   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-030200ab.cha  909  23  2.53025303   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-020100cd.cha  819   3  0.36630037   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-021000cd.cha  504  38  7.53968254   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-020200ab.cha  692   1  0.14450867   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-021000ab.cha  911  20  2.19538968   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-020400ab.cha 1060   1  0.09433962   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-020100ab.cha 1047  43  4.10697230   2142.8135
Litlhare OCDS child  327 7007  2.43  2.24 Litlhare-020900ab.cha  858  12  1.39860140   2142.8135
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-020800ab.cha  559  21  3.75670841   2146.4000
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-020900cd.cha  854   4  0.46838407   2146.4000
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-020500ab.cha  505   1  0.19801980   2146.4000
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-020500cd.cha  562   6  1.06761566   2146.4000
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-030000cd.cha  717   3  0.41841004   2146.4000
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-021000ab.cha  911   5  0.54884742   2146.4000
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-030000ab.cha  487   1  0.20533881   2146.4000
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-021000cd.cha  504   2  0.39682540   2146.4000
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-020400cd.cha  606   8  1.32013201   2146.4000
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-020900ab.cha  858  19  2.21445221   2146.4000
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-030200ab.cha  909  12  1.32013201   2146.4000
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-020100ef.cha  850   4  0.47058824   2146.4000
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-020100ab.cha 1047  10  0.95510984   2146.4000
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-020600cd.cha  606   1  0.16501650   2146.4000
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-020400ab.cha 1060   7  0.66037736   2146.4000
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-020800cd.cha  580  10  1.72413793   2146.4000
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-030200cd.cha  863   5  0.57937428   2146.4000
Litlhare OCDS investigator  125 2683  0.98  0.89 Litlhare-020200cd.cha  550   6  1.09090909   2146.4000
Litlhare OCDS mother  323 5539  2.85  2.09 Litlhare-020400ab.cha 1060  61  5.75471698   1714.8607
Litlhare OCDS mother  323 5539  2.85  2.09 Litlhare-020400cd.cha  606  27  4.45544554   1714.8607
Litlhare OCDS mother  323 5539  2.85  2.09 Litlhare-020500cd.cha  562   9  1.60142349   1714.8607
Litlhare OCDS mother  323 5539  2.85  2.09 Litlhare-020100ef.cha  850  26  3.05882353   1714.8607
Litlhare OCDS mother  323 5539  2.85  2.09 Litlhare-030000cd.cha  717  47  6.55509066   1714.8607
Litlhare OCDS mother  323 5539  2.85  2.09 Litlhare-030000ab.cha  487  14  2.87474333   1714.8607
Litlhare OCDS mother  323 5539  2.85  2.09 Litlhare-020100cd.cha  819  25  3.05250305   1714.8607
Litlhare OCDS mother  323 5539  2.85  2.09 Litlhare-020600cd.cha  606  39  6.43564356   1714.8607
Litlhare OCDS mother  323 5539  2.85  2.09 Litlhare-030200ab.cha  909  18  1.98019802   1714.8607
Litlhare OCDS mother  323 5539  2.85  2.09 Litlhare-020800ab.cha  559   2  0.35778175   1714.8607
Litlhare OCDS mother  323 5539  2.85  2.09 Litlhare-020100ab.cha 1047   6  0.57306590   1714.8607
Litlhare OCDS mother  323 5539  2.85  2.09 Litlhare-020200ab.cha  692   6  0.86705202   1714.8607
Litlhare OCDS mother  323 5539  2.85  2.09 Litlhare-030200cd.cha  863  25  2.89687138   1714.8607
Litlhare OCDS mother  323 5539  2.85  2.09 Litlhare-020200cd.cha  550   4  0.72727273   1714.8607
Litlhare OCDS mother  323 5539  2.85  2.09 Litlhare-020900ab.cha  858  14  1.63170163   1714.8607
Litlhare unclassified adult    6  348  0.33  0.21 Litlhare-020100ab.cha 1047   5  0.47755492   5800.0000
Litlhare unclassified adult    6  348  0.33  0.21 Litlhare-020500cd.cha  562   1  0.17793594   5800.0000
Litlhare unclassified child   36 7007  0.33  0.31 Litlhare-020900ab.cha  858   1  0.11655012  19463.8889
Litlhare unclassified child   36 7007  0.33  0.31 Litlhare-020600cd.cha  606   2  0.33003300  19463.8889
Litlhare unclassified child   36 7007  0.33  0.31 Litlhare-020800ab.cha  559   1  0.17889088  19463.8889
Litlhare unclassified child   36 7007  0.33  0.31 Litlhare-030200ab.cha  909   2  0.22002200  19463.8889
Litlhare unclassified child   36 7007  0.33  0.31 Litlhare-020100ef.cha  850   2  0.23529412  19463.8889
Litlhare unclassified child   36 7007  0.33  0.31 Litlhare-030200cd.cha  863   2  0.23174971  19463.8889
Litlhare unclassified child   36 7007  0.33  0.31 Litlhare-020400ab.cha 1060   1  0.09433962  19463.8889
Litlhare unclassified child   36 7007  0.33  0.31 Litlhare-020500ab.cha  505   4  0.79207921  19463.8889
Litlhare unclassified child   36 7007  0.33  0.31 Litlhare-020100ab.cha 1047   3  0.28653295  19463.8889
Litlhare unclassified child   36 7007  0.33  0.31 Litlhare-020100cd.cha  819   1  0.12210012  19463.8889
Litlhare unclassified child   36 7007  0.33  0.31 Litlhare-020200ab.cha  692   1  0.14450867  19463.8889
Litlhare unclassified child   36 7007  0.33  0.31 Litlhare-020500cd.cha  562   6  1.06761566  19463.8889
Litlhare unclassified child   36 7007  0.33  0.31 Litlhare-021000ab.cha  911   8  0.87815587  19463.8889
Litlhare unclassified child   36 7007  0.33  0.31 Litlhare-020400cd.cha  606   1  0.16501650  19463.8889
Litlhare unclassified child   36 7007  0.33  0.31 Litlhare-020900cd.cha  854   1  0.11709602  19463.8889
Litlhare unclassified investigator   18 2683  0.68  0.79 Litlhare-021000ab.cha  911   1  0.10976948  14905.5556
Litlhare unclassified investigator   18 2683  0.68  0.79 Litlhare-020100ab.cha 1047   1  0.09551098  14905.5556
Litlhare unclassified investigator   18 2683  0.68  0.79 Litlhare-020500cd.cha  562  10  1.77935943  14905.5556
Litlhare unclassified investigator   18 2683  0.68  0.79 Litlhare-020100cd.cha  819   6  0.73260073  14905.5556
Litlhare unclassified mother   31 5539  0.51  0.89 Litlhare-020100ef.cha  850   1  0.11764706  17867.7419
Litlhare unclassified mother   31 5539  0.51  0.89 Litlhare-020100cd.cha  819   2  0.24420024  17867.7419
Litlhare unclassified mother   31 5539  0.51  0.89 Litlhare-020600ab.cha  652   1  0.15337423  17867.7419
