keychild register speakers largetotalperchildreg.x largetotalperchildreg.y sumperSpeakerChild average.1 average.2 session total.x largetotalperchildkey total.y nb_utt percentage percentageperSpeakerRegisterChild
Litlhare CDS adult  261  261  340 NA NA Litlhare-030200ab.cha 788 12669 788  10 NA  2.060146815
Litlhare CDS adult  261  261  340 NA NA Litlhare-020800cd.cha 345 12669 345   2 NA  2.060146815
Litlhare CDS adult  261  261  340 NA NA Litlhare-020200ab.cha 662 12669 662  27 NA  2.060146815
Litlhare CDS adult  261  261  340 NA NA Litlhare-030200cd.cha 804 12669 804  11 NA  2.060146815
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-020100ef.cha 767 12669 767 511 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-030200cd.cha 804 12669 804 384 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-020200cd.cha 407 12669 407  99 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-020900cd.cha  61 12669  61  20 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-020900ab.cha 618 12669 618 326 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-020500ef.cha 310 12669 310   1 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-030000ab.cha 434 12669 434 144 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-020600ab.cha 645 12669 645   2 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-030200ab.cha 788 12669 788 263 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-020800ab.cha 410 12669 410 393 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-020500cd.cha 479 12669 479 333 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-020400cd.cha 505 12669 505 299 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-020800cd.cha 345 12669 345 342 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-021000ab.cha 749 12669 749 717 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-020100cd.cha 732 12669 732 139 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-030000cd.cha 667 12669 667 302 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-020200ab.cha 662 12669 662 148 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-020100ab.cha 912 12669 912 443 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-021000cd.cha 360 12669 360 322 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-020400ab.cha 899 12669 899 332 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-020500ab.cha 500 12669 500 445 NA 48.638408714
Litlhare CDS child 6162 6162 6836 NA NA Litlhare-020600cd.cha 589 12669 589 197 NA 48.638408714
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-030000ab.cha 434 12669 434 250 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-030000cd.cha 667 12669 667 291 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-020900cd.cha  61 12669  61  40 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-020100ef.cha 767 12669 767 152 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-020500cd.cha 479 12669 479  31 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-020100cd.cha 732 12669 732 541 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-020600cd.cha 589 12669 589 332 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-020100ab.cha 912 12669 912 275 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-020900ab.cha 618 12669 618 245 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-030200cd.cha 804 12669 804 314 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-020500ef.cha 310 12669 310 254 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-030200ab.cha 788 12669 788 389 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-020600ab.cha 645 12669 645 610 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-020200cd.cha 407 12669 407 294 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-020400ab.cha 899 12669 899 451 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-020400cd.cha 505 12669 505 140 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-020800ab.cha 410 12669 410   5 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-020600e.cha  26 12669  26  26 NA 40.247849080
Litlhare CDS mother 5099 5099 5493 NA NA Litlhare-020200ab.cha 662 12669 662 459 NA 40.247849080
Litlhare OCDS adult   29   29  340 NA NA Litlhare-020500cd.cha 479 12669 479  10 NA  0.228905202
Litlhare OCDS adult   29   29  340 NA NA Litlhare-030200ab.cha 788 12669 788   2 NA  0.228905202
Litlhare OCDS adult   29   29  340 NA NA Litlhare-020100ab.cha 912 12669 912  14 NA  0.228905202
Litlhare OCDS adult   29   29  340 NA NA Litlhare-020500ab.cha 500 12669 500   1 NA  0.228905202
