utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
18894	MOT	mother	et puis?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18897	MOT	mother	et ça?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18899	MOT	mother	en écharpe?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18901	MOT	mother	autour du cou?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18903	MOT	mother	attends				Anais/247b.cha	1	clara						Anais	mother	Keychild
18904	MOT	mother	faut lui cacher ses oreilles			%sit  Mot met le chapeau au poupon et Ana regarde /Anais/247b.cha	Anais/247b.cha	1	clara						Anais	mother	Keychild
18905	MOT	mother	voilà				Anais/247b.cha	1	clara						Anais	mother	Keychild
18907	MOT	mother	c'est bon là?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18908	MOT	mother	et on lui met ça en écharpe?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18910	MOT	mother	d'accord				Anais/247b.cha	1	clara						Anais	mother	Keychild
18912	MOT	mother	on va y plier alors hein parce que c'est une grande écharpe				Anais/247b.cha	1	clara						Anais	mother	Keychild
18914	MOT	mother	attends				Anais/247b.cha	1	clara						Anais	mother	Keychild
18915	MOT	mother	on fait l'écharpe				Anais/247b.cha	1	clara						Anais	mother	Keychild
18916	MOT	mother	voilà				Anais/247b.cha	1	clara						Anais	mother	Keychild
18917	MOT	mother	comme ça?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18919	MOT	mother	comme ça?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18921	MOT	mother	comme ça				Anais/247b.cha	1	clara						Anais	mother	Keychild
18922	MOT	mother	alors attends on va faire un noeud				Anais/247b.cha	1	clara						Anais	mother	Keychild
18923	MOT	mother	ah voilà				Anais/247b.cha	1	clara						Anais	mother	Keychild
18924	MOT	mother	voilà comme ça il a plus froid autour de son cou ton bébé				Anais/247b.cha	1	clara						Anais	mother	Keychild
18925	MOT	mother	tiens			%sit  Mot rend le poupon à Ana /Anais/247b.cha	Anais/247b.cha	1	clara						Anais	mother	Keychild
18926	MOT	mother	c'est bon?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18928	MOT	mother	bon				Anais/247b.cha	1	clara						Anais	mother	Keychild
18930	MOT	mother	maintenant il peut faire dodo au chaud?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18932	MOT	mother	comme ça				Anais/247b.cha	1	clara						Anais	mother	Keychild
18934	MOT	mother	il dort sur le côté				Anais/247b.cha	1	clara						Anais	mother	Keychild
18936	MOT	mother	il a pas de doudou ton bébé pour dormir?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18938	MOT	mother	tu donnes le doudou de Chl?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18940	MOT	mother	oui tu as raison			%com passage non transcrit entre Chl et Mot 92213892812/Anais/247b.cha	Anais/247b.cha	1	clara						Anais	mother	Keychild
18942	MOT	mother	cheval?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18943	MOT	mother	ah y a doudou cheval autrement				Anais/247b.cha	1	clara						Anais	mother	Keychild
18945	MOT	mother	non on prend doudou manchot?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18948	MOT	mother	manchot				Anais/247b.cha	1	clara						Anais	mother	Keychild
18950	MOT	mother	comment tu le mets?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18951	MOT	mother	comme ça?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18957	MOT	mother	allez on met la couverture mon coeur				Anais/247b.cha	1	clara						Anais	mother	Keychild
18959	MOT	mother	comme ça?				Anais/247b.cha	1	clara						Anais	mother	Keychild
18961	MOT	mother	voilà maintenant /				Anais/247b.cha	1	clara						Anais	mother	Keychild
18964	MOT	mother	faut plus faire de bruit chut				Anais/247b.cha	1	clara						Anais	mother	Keychild
18965	MOT	mother	merci				Anais/247b.cha	1	clara						Anais	mother	Keychild
