utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee	register
31312	MOT	mother	www				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31314	MOT	mother	pique pique pique et ça fait quoi les www orties?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31316	MOT	mother	quand www ça pique				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31318	MOT	mother	ça fait des				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31320	MOT	mother	ça fait des bu				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31322	MOT	mother	des boutons				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31323	MOT	mother	et ça gratte surtout				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31324	MOT	mother	mhm?			%sit  Tim joue avec sa pince et MOT plie les vêtements/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31328	MOT	mother	chut chut				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31329	MOT	mother	alors qu'estce que tu vas faire à la mer				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31331	MOT	mother	estce que tu sais?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31332	MOT	mother	tu es jamais allé à la mer toi				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31335	MOT	mother	hein?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31337	MOT	mother	tu es jamais allé?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31338	MOT	mother	tu vas aller où à la plage?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31345	MOT	mother	hop			%act  elle a terminé de plier les habits/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31347	MOT	mother	www			%act  elle replace le micro de Tim/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31348	MOT	mother	c'est moi				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31349	MOT	mother	c'est de ma faute				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31350	MOT	mother	attends on va le mettre là				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31351	MOT	mother	non non tire pas				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31352	MOT	mother	oh la la le nounours il va pas être content hein				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31354	MOT	mother	hep hep hep				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31355	MOT	mother	regarde là attention			%act  elle prend la pince/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31356	MOT	mother	eh attention je vais attraper ton www étiquette				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31357	MOT	mother	je vais attraper l'étiquette hop			%act  elle attrape l'étiquette avec la pince/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31359	MOT	mother	la la la la				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31361	MOT	mother	on va enlever ça parce que ça				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31370	MOT	mother	histoire histoire une histoire lire histoire			%sit  Tim et MOT sont hors champ/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31371	MOT	mother	www tu veux que je te lise une histoire?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31373	MOT	mother	va te chercher un livre alors			%sit  on entend Tim courir/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31374	MOT	mother	il court une démarche				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31376	MOT	mother	alors choisis un livre				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31377	MOT	mother	tu l'amènes dans le salon				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31381	MOT	mother	xxx				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31383	MOT	mother	www				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31386	MOT	mother	tu as choisi quoi?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31388	MOT	mother	y a des trucs par terre			%act  elle ramasse les papiers que Tim a mis par terre/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31391	MOT	mother	pourquoi d'abord parce qu'il y en a plusieurs?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31397	MOT	mother	ah pas si fort Hector				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31398	MOT	mother	mhm assieds toi			%sit  Tim monte sur le fauteuil à côté de MOT/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31399	MOT	mother	on www aurait pu se mettre sur le canapé				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31400	MOT	mother	on www aurait eu plus de place mais bon				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31402	MOT	mother	alors				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31403	MOT	mother	c'est bon?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31404	MOT	mother	tu es prêt?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31406	MOT	mother	pas si fort Hector			%act  elle lit le titre/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31408	MOT	mother	ah ah ah				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31409	MOT	mother	pour ma soeur Pauline				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31410	MOT	mother	oh qui estce qu'on voit?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31412	MOT	mother	la nuit est tombée sur la ferme du bout du bois				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31413	MOT	mother	presque tous les www endormis				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31414	MOT	mother	tout www est calme et tranquille				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31415	MOT	mother	qui on voit?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31417	MOT	mother	www				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31418	MOT	mother	le chien oui				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31420	MOT	mother	les chiens ils dorment?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31421	MOT	mother	aussi là les chiens dorment			%act  elle montre l'image dans le livre/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31423	MOT	mother	oh c'est une échelle une échelle				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31426	MOT	mother	www euf en chocolat				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31428	MOT	mother	pourquoi tu penses à ça?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31429	MOT	mother	la ferme les www oeufs				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31431	MOT	mother	oui oui				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31433	MOT	mother	et qui qu'est-ce?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31434	MOT	mother	www				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31436	MOT	mother	tu es allé oui				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31437	MOT	mother	tu es allé comment?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31439	MOT	mother	qu'est-ce qu'on				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31440	MOT	mother	et que 				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31441	MOT	mother	tu es monté dans quoi?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31442	MOT	mother	pour y aller?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31443	MOT	mother	en voiture				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31446	MOT	mother	le bus oui mhm				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31447	MOT	mother	et là?			%act  elle montre une image/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31450	MOT	mother	qui estce qui dort encore?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31452	MOT	mother	les poussins?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31453	MOT	mother	oh eux ils ils vont se coucher mais ils dorment pas encore				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31454	MOT	mother	il y a la poule tu vois				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31455	MOT	mother	elle leur dit allez au dodo				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31456	MOT	mother	hop hop hop ils rentrent dans le poulailler				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31457	MOT	mother	alors moi j'en vois qui dorment là dans la mare				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31459	MOT	mother	voilà c'est qui eux				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31461	MOT	mother	les canards				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31462	MOT	mother	et puis qui estce qui dort dans l'étable?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31464	MOT	mother	c'est quoi ça?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31466	MOT	mother	les petits veaux oui				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31468	MOT	mother	les petits veaux et ça c'est la				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31470	MOT	mother	sa maman et c'est la				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31471	MOT	mother	la vache				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31473	MOT	mother	ah			%act  elle ajuste le micro/Theotime/2111a.cha	Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31475	MOT	mother	xxx là elle gronde hein				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31476	MOT	mother	et puis qu'estce qu'on voit encore?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31477	MOT	mother	tu as oublié des www animaux				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31479	MOT	mother	qui on voit?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31481	MOT	mother	sur les toits				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31483	MOT	mother	des www oiseaux?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31485	MOT	mother	je sais pas ce que c'est des tourterelles				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31486	MOT	mother	regarde y en a là				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31487	MOT	mother	et puis dans la mare il y a qui encore				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31489	MOT	mother	sur le nénuphar				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31491	MOT	mother	qui on voit?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31492	MOT	mother	regarde bien dans la mare				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31493	MOT	mother	où elle est la mare?				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31496	MOT	mother	la mare aux				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31497	MOT	mother	la mare pas la mer la mare				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31499	MOT	mother	la mare la mare aux canards				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
31501	MOT	mother	la mare c'est l'eau				Theotime/2111a.cha	1	clara				Theotime	mother	Keychild	CDS
